time, valid_out, skinScore
        358, 1, 134
        359, 1, 135
        360, 1, 156
        361, 1, 131
        362, 1, 120
        363, 1, 138
        364, 1, 134
        365, 1, 138
        366, 1, 138
        367, 1, 133
        368, 1, 133
        369, 1, 133
        370, 1, 133
        371, 1, 133
        372, 1, 133
        373, 1, 133
        374, 1, 133
        375, 1, 133
        376, 1, 133
        377, 1, 133
        378, 1,   0
        379, 1, 133
        380, 1, 128
        381, 1, 116
        382, 1, 147
        383, 1, 153
        384, 1, 136
        385, 1, 118
        386, 1, 130
        387, 1, 144
        388, 1, 129
        389, 1, 118
        390, 1, 130
        391, 1, 143
        392, 1, 117
        393, 1, 158
        394, 1, 128
        395, 1, 128
        396, 1, 100
        397, 1, 133
        398, 1, 116
        399, 1, 153
        400, 1, 102
        401, 1, 133
        402, 1,  60
        403, 1, 109
        404, 1, 117
        405, 1, 117
        406, 1, 118
        407, 1, 117
        408, 1, 114
        409, 1, 114
        410, 1, 114
        411, 1, 114
        412, 1, 114
        413, 1, 114
        414, 1, 114
        415, 1, 114
        416, 1, 114
        417, 1, 114
        418, 1, 114
        419, 1, 115
        420, 1, 115
        421, 1, 115
        422, 1, 115
        423, 1, 115
        424, 1, 115
        425, 1, 115
        426, 1, 115
        427, 1, 115
        428, 1, 115
        429, 1, 115
        430, 1, 115
        431, 1, 115
        432, 1,   0
        433, 1,   0
        434, 1,  61
        435, 1, 128
        436, 1, 115
        437, 1,  74
        438, 1, 104
        439, 1, 102
        440, 1,  93
        441, 1, 113
        442, 1,  94
        443, 1, 100
        444, 1,  91
        445, 1, 122
        446, 1,  82
        447, 1, 117
        448, 1, 101
        449, 1,  59
        450, 1,  86
        451, 1,  65
        452, 1,  52
        453, 1, 116
        454, 1, 111
        455, 1,  86
        456, 1, 135
        457, 1,  74
        458, 1,  98
        459, 1,  92
        460, 1, 103
        461, 1,  63
        462, 1, 113
        463, 1, 100
        464, 1,  95
        465, 1,  99
        466, 1,  83
        467, 1,  95
        468, 1, 126
        469, 1, 113
        470, 1,  79
        471, 1,  77
        472, 1,  53
        473, 1,  82
        474, 1,  75
        475, 1, 107
        476, 1,  91
        477, 1,  84
        478, 1,  84
        479, 1,  84
        480, 1,  84
        481, 1,  84
        482, 1,  84
        483, 1,  84
        484, 1,  84
        485, 1,  84
        486, 1,  84
        487, 1,  84
        488, 1,   0
        489, 1,  84
        490, 1,  66
        491, 1,  75
        492, 1,  84
        493, 1,  53
        494, 1,  62
