          0,           x
          1,           0
          2,           0
          3,           0
          4,           0
          5,           0
          6,           0
          7,           0
          8,           0
          9,           0
         10,           0
         11,           0
         12,           0
         13,           0
         14,           0
         15,           0
         16,           x
         17,      962327
         18,    85597065
         19,     7194890
